dbn,school_name,school_type,enrollment,rigorous_instruction,collab_teachers,support_environ,effective_school_leadership,strong_fam_community_ties,trust,english_language_learners,students_disabilities,self_contained,economic_need_index,temp_housing,hra_eligible,asian,black,hispanic,white,teachers_3_or_more_yrs_exp,student_attendance_rate,chronically_absent,teacher_attendance_rate
27Q254,P.S. 254 - The Rosa Parks School,Elementary,568,0.91,0.93,0.96,0.87,0.96,0.92,0.181,0.137,0.055,0.658,0.062,0.592,0.106,0.035,0.75,0.083,1,0.94,0.167,0.948
27Q262,Channel View School for Research,Middle,414,0.81,0.84,0.72,0.85,0.89,0.88,0.029,0.114,0,0.667,0.056,0.587,0.104,0.36,0.411,0.092,0.716,0.948,0.128,0.958
27Q273,P.S. 273,Elementary,281,0.9,0.91,0.92,0.9,0.97,0.94,0.132,0.21,0.075,0.754,0.06,0.687,0.149,0.06,0.737,0.021,0.821,0.927,0.227,0.971
27Q282,Knowledge and Power Preparatory Academy VI,Middle,264,0.88,0.83,0.77,0.87,0.96,0.89,0.061,0.189,0,0.736,0.049,0.636,0.015,0.424,0.515,0.03,0.647,0.968,0.038,0.961
27Q297,Hawtree Creek Middle School,Middle,376,0.93,0.94,0.86,0.97,0.99,0.95,0.029,0.237,0.085,0.63,0.053,0.564,0.327,0.346,0.186,0.019,0.483,0.94,0.179,0.976
27Q306,New York City Academy for Discovery,Elementary,360,0.88,0.83,0.87,0.91,0.96,0.83,0.186,0.228,0.094,0.683,0.067,0.597,0.181,0.058,0.678,0.028,0.759,0.927,0.211,0.949
27Q309,Academy of Medical Technology: A College Board Sch,Middle,226,0.78,0.81,0.72,0.8,0.89,0.87,0.146,0.15,0,0.856,0.133,0.774,0.04,0.496,0.429,0.022,0.88,0.925,0.237,0.971
27Q316,Queens Explorers Elementary School,Elementary,356,0.86,0.94,0.91,0.96,0.97,0.93,0.048,0.163,0.048,0.599,0.022,0.497,0.272,0.067,0.483,0.121,0.824,0.936,0.203,0.973
27Q317,Waterside Children's Studio School,Elementary,464,0.93,0.99,0.95,0.97,0.99,0.99,0.091,0.192,0.045,0.651,0.116,0.593,0.06,0.237,0.45,0.198,0.905,0.937,0.19,0.967
27Q318,Waterside School For Leadership,Middle,244,0.92,0.9,0.89,0.94,0.94,0.93,0.098,0.254,0.086,0.787,0.127,0.713,0.033,0.533,0.336,0.07,0.591,0.897,0.409,0.98
27Q319,Village Academy,Middle,378,0.92,0.89,0.84,0.93,0.93,0.91,0.169,0.228,0.053,0.843,0.177,0.77,0.016,0.569,0.392,0.016,0.676,0.912,0.337,0.976
27Q323,Scholars' Academy,Middle,660,0.84,0.8,0.78,0.85,0.93,0.85,0.002,0.111,0,0.327,0.017,0.235,0.259,0.136,0.182,0.408,0.743,0.971,0.032,0.964
27Q333,Goldie Maple Academy,K-8,363,0.63,0.6,0.55,0.62,0.9,0.72,0.014,0.105,0.017,0.73,0.055,0.625,0.033,0.672,0.234,0.022,0.714,0.946,0.171,0.951
27Q362,Wave Preparatory Elementary School,Elementary,494,0.91,0.91,0.93,0.93,0.97,0.95,0.2,0.194,0.115,0.846,0.198,0.791,0.018,0.383,0.583,0.002,0.706,0.933,0.246,0.954
28Q008,J.H.S. 008 Richard S. Grossley,Middle,384,0.82,0.85,0.71,0.9,0.85,0.88,0.135,0.182,0.076,0.793,0.151,0.708,0.193,0.404,0.271,0.018,0.903,0.917,0.271,0.955
28Q040,P.S. 040 Samuel Huntington,Elementary,366,0.91,0.95,0.85,0.93,0.97,0.96,0.068,0.265,0.148,0.84,0.221,0.776,0.137,0.546,0.254,0.046,0.909,0.903,0.416,0.94
28Q048,P.S. 048 William Wordsworth,Elementary,514,0.75,0.73,0.77,0.7,0.95,0.8,0.13,0.282,0.152,0.824,0.23,0.704,0.173,0.51,0.237,0.018,0.909,0.921,0.291,0.973
28Q050,P.S. 050 Talfourd Lawn Elementary School,Elementary,758,0.85,0.84,0.83,0.88,0.96,0.9,0.168,0.193,0.051,0.778,0.124,0.687,0.23,0.182,0.445,0.021,0.644,0.935,0.211,0.988
28Q054,P.S. 054 Hillside,Elementary,536,0.87,0.77,0.84,0.8,0.96,0.81,0.248,0.174,0.075,0.827,0.162,0.746,0.336,0.058,0.535,0.021,0.786,0.926,0.254,0.968
28Q055,P.S. 055 Maure,Elementary,441,0.85,0.96,0.85,0.96,0.94,0.98,0.147,0.229,0.059,0.679,0.05,0.583,0.438,0.079,0.238,0.016,0.884,0.933,0.219,0.965
28Q072,Catherine & Count Basie Middle School 72,Middle,337,0.66,0.7,0.59,0.72,0.82,0.75,0.065,0.285,0.116,0.771,0.184,0.709,0.077,0.682,0.157,0.024,0.968,0.903,0.353,0.961
28Q080,PS 80  The Thurgood Marshall Magnet School of Mult,Elementary,443,0.71,0.71,0.77,0.69,0.94,0.81,0.027,0.246,0.124,0.635,0.135,0.571,0.02,0.849,0.081,0.014,0.718,0.924,0.271,0.957
28Q082,P.S. 082 Hammond,Elementary,653,0.61,0.56,0.69,0.51,0.94,0.65,0.345,0.172,0.08,0.869,0.118,0.79,0.228,0.057,0.672,0.009,0.68,0.944,0.154,0.954
28Q086,P.S. Q086,Elementary,818,0.74,0.77,0.77,0.77,0.92,0.81,0.296,0.159,0.062,0.832,0.123,0.763,0.553,0.056,0.328,0.035,1,0.928,0.25,0.96
28Q099,P.S. 099 Kew Gardens,Elementary,781,0.91,0.93,0.94,0.93,0.97,0.95,0.124,0.215,0.049,0.556,0.137,0.492,0.236,0.058,0.387,0.269,0.929,0.945,0.145,0.965
28Q101,P.S. 101 School in the Gardens,Elementary,654,0.87,0.9,0.89,0.89,0.96,0.91,0.041,0.148,0.011,0.137,0.011,0.112,0.295,0.029,0.177,0.42,0.795,0.954,0.102,0.954
28Q117,P.S. 117 J. Keld / Briarwood School,Elementary,905,0.75,0.79,0.78,0.79,0.94,0.81,0.144,0.209,0.101,0.673,0.076,0.588,0.331,0.094,0.371,0.148,0.954,0.924,0.267,0.951
28Q121,P.S. 121 Queens,Elementary,847,0.9,0.93,0.91,0.95,0.96,0.95,0.044,0.133,0.037,0.62,0.031,0.535,0.54,0.169,0.131,0.019,0.789,0.923,0.264,0.955
28Q139,P.S. 139 Rego Park,Elementary,732,0.77,0.71,0.77,0.73,0.93,0.76,0.219,0.173,0.061,0.57,0.052,0.47,0.279,0.025,0.264,0.398,0.857,0.95,0.12,0.957
28Q140,P.S. 140 Edward K Ellington,Elementary,449,0.76,0.84,0.71,0.84,0.93,0.88,0.069,0.225,0.1,0.785,0.214,0.719,0.073,0.653,0.214,0.027,0.694,0.907,0.364,0.97
28Q144,P.S. 144 Col Jeromus Remsen,Elementary,851,0.9,0.97,0.95,0.95,0.96,0.98,0.052,0.145,0.021,0.213,0.019,0.137,0.345,0.012,0.179,0.383,0.963,0.954,0.09,0.956
28Q157,J.H.S. 157 Stephen A. Halsey,Middle,1613,0.86,0.85,0.78,0.88,0.89,0.9,0.1,0.139,0.048,0.468,0.045,0.383,0.244,0.081,0.232,0.407,0.75,0.95,0.129,0.969
28Q160,P.S. 160 Walter Francis Bishop,Elementary,563,0.84,0.92,0.86,0.91,0.93,0.92,0.114,0.217,0.103,0.752,0.149,0.684,0.153,0.476,0.215,0.014,0.911,0.911,0.327,0.951
28Q161,P.S. 161 Arthur Ashe School,Elementary,575,0.91,0.93,0.95,0.94,0.96,0.94,0.104,0.134,0.003,0.722,0.052,0.65,0.685,0.064,0.13,0.028,0.961,0.936,0.197,0.967
28Q167,Metropolitan Expeditionary Learning School,Middle,378,0.8,0.84,0.73,0.88,0.92,0.89,0.037,0.175,0.008,0.523,0.048,0.442,0.241,0.148,0.389,0.169,0.836,0.959,0.073,0.968
28Q174,P.S. 174 William Sidney Mount,Elementary,650,0.71,0.68,0.77,0.62,0.97,0.76,0.115,0.106,0.011,0.343,0.02,0.274,0.351,0.029,0.255,0.314,0.933,0.953,0.124,0.962
28Q175,P.S. 175 The Lynn Gross Discovery School,Elementary,765,0.83,0.89,0.86,0.89,0.94,0.96,0.095,0.158,0.034,0.499,0.025,0.386,0.216,0.01,0.131,0.614,0.88,0.934,0.21,0.954
28Q182,P.S. 182 Samantha Smith,Elementary,718,0.74,0.82,0.72,0.8,0.95,0.9,0.382,0.18,0.058,0.82,0.132,0.73,0.291,0.117,0.546,0.015,0.927,0.929,0.238,0.969
28Q190,J.H.S. 190 Russell Sage,Middle,1082,0.78,0.8,0.61,0.78,0.84,0.8,0.102,0.134,0.039,0.41,0.043,0.34,0.324,0.07,0.271,0.299,0.831,0.942,0.171,0.963
28Q196,P.S. 196 Grand Central Parkway,Elementary,1004,0.95,0.95,0.95,0.94,0.97,0.98,0.066,0.139,0.037,0.209,0.012,0.164,0.375,0.021,0.111,0.424,0.869,0.957,0.066,0.968
28Q206,P.S. 206 The Horace Harding School,Elementary,577,0.88,0.94,0.87,0.94,0.95,0.95,0.282,0.135,0.055,0.684,0.04,0.594,0.237,0.135,0.303,0.284,0.86,0.939,0.196,0.964
28Q217,J.H.S. 217 Robert A. Van Wyck,Middle,1666,0.84,0.85,0.7,0.91,0.88,0.9,0.166,0.173,0.077,0.742,0.133,0.649,0.345,0.155,0.414,0.04,0.819,0.92,0.274,0.963
28Q220,P.S. 220 Edward Mandel,Elementary,667,0.91,0.96,0.9,0.93,0.96,0.94,0.234,0.117,0.013,0.63,0.075,0.544,0.321,0.06,0.226,0.357,0.896,0.945,0.151,0.992
28Q284,York Early College Academy,Middle,290,0.86,0.86,0.76,0.87,0.93,0.91,0.017,0.124,0,0.483,0.041,0.386,0.252,0.503,0.086,0.01,0.933,0.958,0.1,0.97
28Q287,The Emerson School,Middle,358,0.76,0.77,0.65,0.81,0.84,0.83,0.115,0.243,0.106,0.807,0.184,0.721,0.229,0.439,0.249,0.017,0.806,0.908,0.303,0.956
28Q310,Queens Collegiate: A College Board School,Middle,253,0.78,0.79,0.65,0.8,0.85,0.85,0.04,0.19,0.055,0.66,0.111,0.573,0.273,0.462,0.182,0.004,0.83,0.927,0.239,0.946
28Q312,Jamaica Children's School,Elementary,200,0.86,0.96,0.86,0.96,0.98,0.96,0.065,0.305,0.085,0.798,0.135,0.745,0.025,0.655,0.27,0.03,0.474,0.933,0.231,0.973
28Q332,Redwood Middle School,Middle,334,0.66,0.7,0.67,0.69,0.88,0.79,0.054,0.213,0.078,0.58,0.114,0.488,0.147,0.653,0.099,0.018,0.76,0.91,0.315,0.94
28Q354,The Jermaine L. Green STEM Institute of Queens,Elementary,547,0.87,0.84,0.85,0.88,0.96,0.9,0.033,0.186,0.038,0.68,0.112,0.609,0.02,0.861,0.09,0.007,0.778,0.929,0.243,0.953
28Q358,M.S. 358,Middle,362,0.87,0.94,0.8,0.97,0.92,0.94,0.163,0.199,0.072,0.758,0.113,0.685,0.243,0.238,0.467,0.019,0.533,0.939,0.181,0.965
28Q680,Queens Gateway to Health Sciences Secondary School,Middle,285,0.71,0.65,0.61,0.63,0.78,0.67,0,0.13,0.007,0.557,0.046,0.463,0.579,0.232,0.084,0.049,0.7,0.977,0.021,0.961
28Q896,"Young Women's Leadership School, Queens",Middle,248,0.81,0.82,0.74,0.83,0.88,0.89,0.016,0.141,0.004,0.588,0.073,0.5,0.427,0.379,0.129,0.016,0.914,0.967,0.04,0.981
29Q015,P.S. 015 Jackie Robinson,Elementary,404,0.86,0.84,0.79,0.85,0.95,0.92,0.045,0.178,0.067,0.666,0.149,0.582,0.015,0.876,0.079,0.007,0.679,0.926,0.252,0.967
29Q033,P.S. 033 Edward M. Funk,Elementary,952,0.89,0.95,0.93,0.94,0.96,0.97,0.175,0.144,0.061,0.602,0.043,0.535,0.491,0.144,0.241,0.04,0.934,0.939,0.182,0.952
29Q034,P.S. 034 John Harvard,Elementary,565,0.64,0.59,0.67,0.69,0.93,0.75,0.106,0.168,0.085,0.694,0.149,0.614,0.127,0.665,0.163,0.012,0.526,0.932,0.23,0.971
29Q035,P.S. 035 Nathaniel Woodhull,Elementary,640,0.75,0.69,0.68,0.64,0.94,0.82,0.148,0.158,0.073,0.731,0.092,0.669,0.281,0.334,0.267,0.031,0.913,0.934,0.214,0.955
29Q036,P.S. 036 Saint Albans School,Elementary,408,0.68,0.75,0.68,0.74,0.96,0.87,0.066,0.228,0.086,0.705,0.218,0.64,0.025,0.811,0.115,0.005,0.839,0.922,0.27,0.954
29Q037,Cynthia Jenkins School,Elementary,391,0.58,0.63,0.67,0.53,0.88,0.75,0.036,0.228,0.118,0.736,0.207,0.66,0.028,0.849,0.105,0.005,0.939,0.91,0.358,0.95
29Q038,P.S. 038 Rosedale,Elementary,283,0.9,0.91,0.86,0.95,0.98,0.96,0.057,0.166,0.071,0.501,0.067,0.466,0.025,0.869,0.078,0.021,0.905,0.93,0.234,0.967
29Q052,P.S. 052 Queens,Elementary,380,0.73,0.87,0.78,0.88,0.95,0.93,0.071,0.245,0.079,0.777,0.311,0.726,0.05,0.763,0.145,0.016,0.882,0.903,0.374,0.959
29Q059,I.S. 059 Springfield Gardens,Middle,599,0.81,0.86,0.65,0.91,0.94,0.86,0.033,0.19,0.072,0.603,0.095,0.543,0.02,0.868,0.058,0.01,0.976,0.903,0.306,0.98
29Q095,P.S. 095 Eastwood,Elementary,1441,0.86,0.93,0.88,0.95,0.99,0.96,0.204,0.126,0.037,0.756,0.13,0.668,0.429,0.099,0.397,0.014,0.921,0.901,0.362,0.971
29Q109,Jean Nuzzi Intermediate School,Middle,1164,0.81,0.81,0.67,0.77,0.86,0.84,0.07,0.162,0.054,0.57,0.063,0.496,0.321,0.405,0.183,0.033,0.842,0.934,0.205,0.966
