dbn,school_name,school_type,enrollment,rigorous_instruction,collab_teachers,support_environ,effective_school_leadership,strong_fam_community_ties,trust,english_language_learners,students_disabilities,self_contained,economic_need_index,temp_housing,hra_eligible,asian,black,hispanic,white,teachers_3_or_more_yrs_exp,student_attendance_rate,chronically_absent,teacher_attendance_rate
22K139,P.S. 139 Alexine A. Fenty,Elementary,880,0.7,0.7,0.71,0.76,0.94,0.83,0.161,0.189,0.065,0.753,0.122,0.665,0.191,0.249,0.423,0.106,0.621,0.935,0.2,0.972
22K152,School of Science & Technology,Elementary,619,0.75,0.77,0.72,0.78,0.93,0.89,0.178,0.216,0.108,0.804,0.153,0.743,0.078,0.595,0.286,0.031,0.923,0.936,0.222,0.96
22K193,P.S. 193 Gil Hodges,Elementary,686,0.83,0.81,0.84,0.81,0.95,0.87,0.194,0.226,0.064,0.645,0.057,0.561,0.173,0.421,0.14,0.19,0.877,0.942,0.177,0.957
22K194,P.S. 194 Raoul Wallenberg,Elementary,497,0.93,1,0.97,0.99,0.97,0.99,0.145,0.302,0.101,0.92,0.195,0.861,0.113,0.467,0.195,0.221,0.796,0.917,0.319,0.976
22K195,P.S. 195 Manhattan Beach,Elementary,467,0.83,0.82,0.91,0.8,0.96,0.88,0.169,0.073,0.013,0.292,0.013,0.233,0.028,0.013,0.015,0.934,0.69,0.935,0.172,0.979
22K197,P.S. 197 - The Kings Highway Academy,Elementary,698,0.92,0.96,0.94,0.96,0.96,0.97,0.319,0.185,0.059,0.681,0.093,0.6,0.153,0.093,0.112,0.622,0.754,0.935,0.21,0.958
22K198,P.S. 198 Brooklyn,Elementary,373,0.8,0.83,0.8,0.86,0.96,0.9,0.016,0.239,0.107,0.758,0.257,0.668,0.029,0.831,0.097,0.019,0.944,0.916,0.289,0.967
22K203,P.S. 203 Floyd Bennett School,Elementary,585,0.78,0.86,0.77,0.86,0.93,0.89,0.103,0.27,0.147,0.691,0.137,0.629,0.091,0.726,0.116,0.036,0.778,0.935,0.208,0.975
22K206,P.S. 206 Joseph F Lamb,K-8,1518,0.8,0.84,0.7,0.86,0.93,0.86,0.238,0.121,0.015,0.61,0.038,0.547,0.467,0.016,0.101,0.399,0.73,0.959,0.101,0.97
22K207,P.S. 207 Elizabeth G. Leary,K-8,1141,0.83,0.89,0.73,0.88,0.95,0.91,0.044,0.19,0.046,0.397,0.033,0.343,0.144,0.341,0.159,0.331,0.927,0.948,0.141,0.974
22K217,P.S. 217 Colonel David Marcus School,Elementary,1087,0.85,0.89,0.92,0.9,0.96,0.92,0.264,0.139,0.029,0.801,0.1,0.735,0.525,0.089,0.167,0.186,0.892,0.93,0.243,0.958
22K222,P.S. 222 Katherine R. Snyder,Elementary,888,0.92,0.96,0.9,0.91,0.96,0.96,0.105,0.234,0.055,0.418,0.014,0.374,0.216,0.137,0.179,0.439,0.877,0.952,0.115,0.967
22K234,J.H.S. 234 Arthur W. Cunningham,Middle,1768,0.72,0.72,0.65,0.7,0.85,0.75,0.099,0.153,0.046,0.639,0.068,0.554,0.238,0.165,0.147,0.43,0.832,0.935,0.193,0.968
22K236,P.S. 236 Mill Basin,Elementary,518,0.95,0.98,0.97,0.96,0.97,0.98,0.071,0.145,0.041,0.34,0.041,0.268,0.097,0.201,0.139,0.504,0.795,0.942,0.134,0.969
22K240,Andries Hudde,Middle,689,0.71,0.65,0.6,0.7,0.86,0.79,0.17,0.206,0.073,0.771,0.128,0.701,0.161,0.575,0.163,0.086,0.846,0.937,0.199,0.967
22K245,P.S. 245,Elementary,294,0.88,0.99,0.93,0.95,0.97,0.92,0.082,0.272,0.095,0.809,0.163,0.735,0.014,0.548,0.412,0.01,0.846,0.951,0.137,0.965
22K251,P.S. 251 Paerdegat,Elementary,431,0.69,0.75,0.65,0.75,0.94,0.82,0.077,0.218,0.095,0.798,0.148,0.719,0.026,0.742,0.148,0.056,0.833,0.907,0.309,0.964
22K254,P.S. 254 Dag Hammarskjold,Elementary,766,0.75,0.81,0.85,0.78,0.95,0.91,0.231,0.125,0.02,0.542,0.018,0.471,0.29,0.008,0.085,0.612,0.896,0.942,0.191,0.962
22K255,P.S. 255 Barbara Reing School,Elementary,882,0.88,0.85,0.88,0.83,0.93,0.89,0.215,0.172,0.044,0.698,0.092,0.617,0.219,0.025,0.098,0.639,0.692,0.939,0.211,0.973
22K277,P.S. 277 Gerritsen Beach,Elementary,398,0.86,0.87,0.89,0.8,0.95,0.9,0.07,0.231,0.058,0.385,0.028,0.309,0.151,0.02,0.113,0.698,0.853,0.947,0.121,0.968
22K278,J.H.S. 278 Marine Park,Middle,1203,0.82,0.86,0.62,0.88,0.9,0.85,0.039,0.177,0.049,0.52,0.086,0.43,0.108,0.4,0.176,0.296,0.735,0.936,0.187,0.963
22K312,P.S. 312 Bergen Beach,Elementary,716,0.84,0.92,0.87,0.9,0.96,0.91,0.05,0.203,0.067,0.472,0.05,0.395,0.05,0.378,0.14,0.402,0.893,0.941,0.16,0.959
22K315,P.S. K315,Elementary,614,0.79,0.78,0.78,0.74,0.95,0.87,0.163,0.28,0.114,0.829,0.171,0.77,0.085,0.554,0.272,0.067,0.906,0.932,0.243,0.957
22K361,P.S. 361 East Flatbush Early Childhood School,Elementary,592,0.75,0.85,0.68,0.89,0.95,0.93,0.23,0.262,0.132,0.83,0.213,0.757,0.035,0.755,0.159,0.044,0.808,0.913,0.333,0.966
22K381,I. S. 381,Middle,255,0.84,0.93,0.7,0.97,0.91,0.92,0.129,0.188,0.047,0.748,0.078,0.69,0.118,0.565,0.184,0.118,0.95,0.94,0.209,0.953
22K890,M.S. 890,Middle,213,0.91,0.97,0.77,0.98,0.97,0.94,0.061,0.136,0.028,0.701,0.099,0.615,0.117,0.385,0.357,0.117,0.368,0.968,0.052,0.983
23K041,P.S. 041 Francis White,K-8,402,0.74,0.71,0.64,0.75,0.92,0.8,0.062,0.294,0.109,0.954,0.249,0.9,0.007,0.595,0.333,0.017,0.946,0.867,0.51,0.954
23K137,P.S./I.S. 137 Rachel Jean Mitchell,K-8,256,0.82,0.8,0.73,0.83,0.93,0.89,0.07,0.367,0.164,0.889,0.293,0.82,0,0.758,0.184,0.012,0.767,0.903,0.338,0.977
23K150,P.S. 150 Christopher,Elementary,155,0.8,0.9,0.79,0.95,0.96,0.93,0.071,0.368,0.174,0.981,0.219,0.91,0.006,0.613,0.323,0.019,0.591,0.887,0.437,0.976
